# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
797                4.9300816242         4.8259290141         4.1976917894
798                4.9300816242         4.8456233821         4.1127211433
799                4.9300816242         4.8627109052         3.9515413076
800                4.9300816242         4.8739236193         4.4844616585
801                4.9300816242         4.8713086205         4.1373840957
802                4.9300816242         4.8854609135         4.4410062128
803                4.9300816242         4.8934107401         4.8449987456
804                4.9300816242         4.8953078032         4.8859241222
805                4.9300816242         4.8233026080         4.1418065171
806                4.9300816242         4.8703596157         4.2410441135
807                4.9300816242         4.8792336519         4.0822165545
808                4.9300816242         4.8805422243         4.5120929905
809                4.9300816242         4.8784822401         4.0446459654
810                4.9300816242         4.8883960613         4.5403370249
811                4.9300816242         4.8714265700         4.2428639155
812                4.9300816242         4.8236630157         4.0766839397
813                4.9300816242         4.8204693428         3.9587067680
814                4.9300816242         4.8577168592         4.1402859769
815                4.9300816242         4.8752616645         4.2501013623
816                4.9300816242         4.8265474589         3.8021235403
817                4.9300816242         4.8360762784         4.1188635400
818                4.9300816242         4.8554989728         4.2231614254
819                4.9300816242         4.8771871326         4.2950281307
820                4.9300816242         4.8487275684         4.1226809978
821                4.9300816242         4.8575865128         4.1097727534
822                4.9300816242         4.8541408612         4.2863676388
823                4.9300816242         4.8422094708         4.0598473207
824                4.9300816242         4.8704243675         4.0190520919
825                4.9300816242         4.8728843706         4.1125921820
826                4.9300816242         4.8578515785         4.0255703003
827                4.9300816242         4.8446687709         3.9590696046
828                4.9300816242         4.8494549811         3.9396135010
829                4.9300816242         4.8720995904         3.8501534812
830                4.9300816242         4.8512939911         4.1602346818
831                4.9300816242         4.8693840720         4.2304004487
832                4.9300816242         4.8700711942         4.1937789669
833                4.9300816242         4.8738582077         4.4805048924
834                4.9300816242         4.9013298402         4.8924253232
835                4.9300816242         4.8932158787         4.2336093427
836                4.9300816242         4.9227029025         4.9218853877
837                4.9300816242         4.9009321210         4.1476097256
838                4.9300816242         4.8991021171         4.3161222156
839                4.9300816242         4.9124648976         4.4405094736
840                4.9300816242         4.8948382785         4.2350183798
841                4.9300816242         4.9184262348         4.4648658070
842                4.9300816242         4.9286952933         4.8735718231
843                4.9300816242         4.9155266440         4.2151393580
844                4.9300816242         4.9144538319         4.3774333639
845                4.9300816242         4.9215084684         4.7221033791
846                4.9300816242         4.9153190128         4.3779401485
847                4.9300816242         4.8974983045         4.1139831242
